dist_roads,DEM,TWI,plan_curvature,profil_curvature,Slope,Geology,LandCover,LS
0,503.1000061,8.64679718,0.002601417,0.001801368,6.266467094,1,11,1
35.35533905,722.4000244,8.698513031,-0.001146396,0.007653507,17.37088203,1,21,0
75,522.2999878,14.75843811,0.000656492,-0.00014341,6.168900013,9,41,0
200,730.4000244,8.196716309,0.001611174,-0.010228963,27.32481956,24,41,1
75,1168,10.66797829,0.000571849,-0.001828151,5.815333843,2,41,0
340.0367737,1068,10.34139633,0.002030548,-0.001969648,21.96809769,24,21,1
536.7727661,706,10.53752327,-0.000249793,0.000230285,6.618927002,1,21,0
246.2214508,432.2000122,12.99920654,0,0,0.040504336,9,21,0
75,1408.900024,9.190764427,-0.005140722,0.009899122,27.01712036,7,21,0
235.8495331,592.9000244,9.636436462,0.000111292,-0.000208825,2.337347984,1,21,0
25,828,8.158595085,0.000751506,-0.000528475,10.14405632,2,21,1
50,851.7000122,9.097770691,0.0035936,-0.002486478,22.76754951,1,15,1
134.6291199,714.0999756,9.11285305,0.00114791,-0.001731973,22.46082497,24,11,1
318.1980591,588.5,13.40951157,0.000159937,-0.000159985,1.558223009,1,21,0
35.35533905,705.7999878,9.503795624,0.00140184,-0.001638003,15.6231041,36,41,0
300,874.5,10.84809113,-0.003471194,0.001488767,15.61476898,1,41,0
25,531.7999878,9.866889954,0.000733469,9.35E-05,5.554402351,1,11,0
0,500.8999939,9.810552597,-0.000881236,-0.000561168,5.874118328,1,21,1
0,879.9000244,11.44777393,-0.00231602,0.004723824,12.77919388,1,11,1
561.8051147,1504.099976,10.68528461,-0.003238094,0.001562101,18.94212723,1,21,1
75,787.5,6.84718132,0.013299661,-0.008140379,18.36745262,1,21,1
70.7106781,713.9000244,11.04399967,-0.001254582,0.001945223,10.74696922,1,15,1
680.0735474,1150.199951,7.698005676,0.000875016,0.001675407,29.56120872,2,41,0
0,470.3999939,11.09330845,-0.011332469,0.001627589,17.91618538,1,15,1
50,642.2000122,11.10063744,-0.003034623,-0.00175474,8.588551521,24,41,1
0,508.5,15.66259956,-0.004214345,0.001705675,3.727547169,1,21,1
25,518.2999878,9.667959213,-0.001503845,0.008096253,13.34953403,24,41,1
25,599.4000244,7.09235239,0.003917989,-0.012082206,14.56523991,1,15,1
75,424.3999939,11.83135986,0.00042152,0.001381578,1.822520733,11,21,0
25,831.4000244,8.151050568,0.001020894,0.000220699,28.40581512,11,41,1
25,1416.5,10.4580183,-0.005784819,-0.000344975,32.13742065,36,41,0
103.0776443,461.6000061,10.71754456,3.31E-05,-0.00076688,7.103208065,24,21,0
0,581.5999756,12.30571747,1.74E-05,1.76E-05,3.076425552,1,15,0
215.058136,466.3999939,11.64032745,0.000567733,-0.000392228,4.718384743,24,21,0
50,1069,6.944227695,-0.004062357,-0.004862161,16.76845741,2,41,0
100,1647.699951,10.50327873,-0.001581408,0.000818983,5.876574516,1,21,0
25,378.7000122,13.73474979,9.60E-05,-6.41E-05,0.271759123,9,11,0
25,467.7000122,8.81085968,-0.009007388,0.006032553,10.55803108,24,41,1
145.7738037,827.5999756,13.13789272,-0.002988628,0.00101147,4.714053154,1,21,0
0,515.7999878,7.250241756,0.003802797,-0.000997106,12.51026058,24,11,1
25,532.2000122,7.034067154,0.002353129,-0.007726949,15.39901066,1,15,1
